"ID","MB","MGE","IOA","Var","Type","LON","LAT","IOA_cut"
"BO001006",0.17,1.29,0.67,"Tmax","Available data",-68.78,-11.03,".6 - .7"
"BO001006",0.04,1.13,0.58,"Tmin","Available data",-68.78,-11.03,".5 - .6"
"BO001012",0.04,1.12,0.65,"Tmin","Available data",-67.57,-14.47,".6 - .7"
"BO001012",0.09,1.36,0.72,"Tmax","Available data",-67.57,-14.47,".7 - .8"
"BO004074",-0.02,1.25,0.58,"Tmax","Available data",-68.192,-16.513,".5 - .6"
"BO004074",-0.04,1.56,0.51,"Tmin","Available data",-68.192,-16.513,".5 - .6"
"BR082610",0.18,1.57,0.58,"Tmax","Available data",-69.86777777,-6.66166666,".5 - .6"
"BR082610",0.11,1,0.5,"Tmin","Available data",-69.86777777,-6.66166666,".5 - .6"
"BR082704",-0.08,1.45,0.58,"Tmax","Available data",-72.681324,-7.610736,".5 - .6"
"BR082704",0,0.86,0.57,"Tmin","Available data",-72.681324,-7.610736,".5 - .6"
"BR082807",0.09,0.95,0.57,"Tmin","Available data",-70.7686111,-8.16027777,".5 - .6"
"BR082807",0.08,1.31,0.6,"Tmax","Available data",-70.7686111,-8.16027777,".6 - .7"
"BR082915",0.04,1.33,0.64,"Tmax","Available data",-67.86888888,-9.95916666,".6 - .7"
"BR082915",0.2,1.63,0.57,"Tmax","10-years data",-67.86888888,-9.95916666,".5 - .6"
"BR082915",0.04,0.96,0.61,"Tmin","Available data",-67.86888888,-9.95916666,".6 - .7"
"BR082915",-0.03,1.14,0.54,"Tmin","10-years data",-67.86888888,-9.95916666,".5 - .6"
"CH000083",0.49,0.97,0.49,"Tmax","10-years data",-70.3358,-18.3514,"< .5"
"CH000083",0,0.74,0.63,"Tmax","Available data",-70.3358,-18.3514,".6 - .7"
"CH000083",0.18,1.28,0.55,"Tmin","10-years data",-70.3358,-18.3514,".5 - .6"
"CH000083",0,0.89,0.69,"Tmin","Available data",-70.3358,-18.3514,".6 - .7"
"CH000370",-0.05,1.44,0.65,"Tmin","Available data",-70.1806,-18.5156,".6 - .7"
"CH000370",0.09,1.87,0.55,"Tmin","10-years data",-70.1806,-18.5156,".5 - .6"
"CH000370",0,0.86,0.63,"Tmax","Available data",-70.1806,-18.5156,".6 - .7"
"CH000370",-0.09,1.06,0.53,"Tmax","10-years data",-70.1806,-18.5156,".5 - .6"
"CH004599",0.12,2.15,0.43,"Tmin","Available data",-69.1833,-18.2353,"< .5"
"CH004599",0.1,1.75,0.56,"Tmax","Available data",-69.1833,-18.2353,".5 - .6"
"CO48015050",-0.03,0.73,0.51,"Tmin","Available data",-69.94091667,-4.19386111,".5 - .6"
"CO48015050",0.04,1.22,0.63,"Tmax","Available data",-69.94091667,-4.19386111,".6 - .7"
"EC000003",-0.17,1.21,0.56,"Tmax","Available data",-78.55,-0.36667,".5 - .6"
"EC000005",-0.16,0.8,0.56,"Tmin","Available data",-80.45972,-1.0375,".5 - .6"
"EC000005",-0.19,0.62,0.81,"Tmax","Available data",-80.45972,-1.0375,".8 - .9"
"EC000006",-0.22,1.16,0.65,"Tmax","Available data",-79.46167,-1.1,".6 - .7"
"EC000006",-0.1,0.72,0.52,"Tmin","Available data",-79.46167,-1.1,".5 - .6"
"EC000008",-0.09,1.59,0.54,"Tmax","Available data",-77.94389,-1.5075,".5 - .6"
"EC000025",-0.16,0.66,0.58,"Tmin","Available data",-79.37139,0.02667,".5 - .6"
"EC000025",-0.16,1.04,0.67,"Tmax","Available data",-79.37139,0.02667,".6 - .7"
"EC000026",-0.11,0.7,0.57,"Tmin","Available data",-79.33889,-0.47611,".5 - .6"
"EC000026",-0.17,1.08,0.68,"Tmax","Available data",-79.33889,-0.47611,".6 - .7"
"EC000033",-0.1,1.51,0.58,"Tmax","Available data",-79.20111,-4.03639,".5 - .6"
"EC000037",-0.12,0.86,0.51,"Tmin","Available data",-79.59917,-2.11556,".5 - .6"
"EC000037",-0.12,1.48,0.52,"Tmax","Available data",-79.59917,-2.11556,".5 - .6"
"EC000138",-0.06,1.36,0.62,"Tmax","Available data",-78.76278,-2.8,".6 - .7"
"EC000139",-0.02,1.41,0.61,"Tmax","Available data",-78.77639,-2.88194,".6 - .7"
"PE100007",0.3,1.75,0.64,"Tmin","Available data",-69.6267222222222,-17.5801944444444,".6 - .7"
"PE100007",0.22,1.06,0.64,"Tmax","Available data",-69.6267222222222,-17.5801944444444,".6 - .7"
"PE100015",-0.26,1.26,0.57,"Tmax","10-years data",-78.5183361111111,-6.67655,".5 - .6"
"PE100015",-0.01,1.08,0.64,"Tmax","Available data",-78.5183361111111,-6.67655,".6 - .7"
